comment,date_time,color,size,thumb_up,thumb_down,prod_eval,prod,brand,cleaned_comment,lemma_comment
"Приехал мой долгожданный миксер)))очень красивый ,тяжёлый и большой )еле нашла полку на кухне куда бы он вошёл...10мин и белок взбит для безе) с тестом на манты ему тяжеловато было начал дёргаться домешивала руками... не стала рисковать испугалась...надеюсь будет служить долго)",2020-10-17T11:03:25Z,фиолетовый,0,14,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,приехал долгожданный миксер очень красивый тяжёлый большой еле нашла полку кухне вошёл мин белок взбит безе тестом манты тяжеловато начал дёргаться домешивала руками стала рисковать испугалась надеюсь служить долго,приезжать долгожданный красивый тяжелый большой еле находить полк кухня входить мина белок взбивать безе тесто манта тяжеловато начинать дергаться домешивать рука становиться рисковать испугаться надеяться служить долго
"Миксер получила в хорошей упаковке, распоковала, всё на месте. Миксер очень понравился, тем более он мне на мою кухну очень подошёл по цвету. Теперь  о том как он работает. Тесто для хлеба вымесил на отлично, а вот 8 яиц сбивал очень долго по времени, да не сбил как мне надо. Я не разобралась, почему так, но предыдущий мой миксер фирма Boch, сбивал буквально за 3 минуты. Буду разбираться. Очень шумный. Позже ещё напишу",2020-10-06T12:06:51Z,фиолетовый,0,13,6,4,Миксер планетарный SPM7167 1600Вт,StarWind,получила хорошей упаковке распоковала всё месте понравился мою кухну подошёл цвету работает тесто хлеба вымесил отлично яиц сбивал долго времени сбил надо разобралась почему так предыдущий фирма boch сбивал буквально минуты буду разбираться шумный позже ещё напишу,получать упаковка распоковать место понравиться кухна подходить цвет работать тесто хлеб вымешивать отлично яйцо сбивать долго время сбивать разбираться почему предыдущий фирма boch сбивать буквально минута разбираться шумный поздно написать
Пришёл бракованный. Его уже раньше возвращали.,2020-10-17T06:00:22Z,фиолетовый,0,6,1,1,Миксер планетарный SPM7167 1600Вт,StarWind,пришёл бракованный раньше возвращали,приходить бракованный рано возвращать
"Миксер отличный! Белки взбивает очень круто, тесто замешивает на ура!",2020-10-16T16:15:58Z,фиолетовый,0,10,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,отличный белки взбивает круто тесто замешивает ура,белка взбивать круто тесто замешивать ура
"Получила свой миксер сегодня. Упаковано в 2-х коробках. Всё целое и на месте.
Сказать что я от него в восторге это ничего не сказать. Я о таком чуде просто мечтала. Белки взбил буквально за 2 минуты, минуты за 3 с сахаром. Ещё пара минут + мука и тесто готово. Хорошо, что есть крышка, мука не разлетается. Всё насадки на месте. Втулки у насадок металлические, это значительно надёжнее пластмассы. Моя благодарность производителю. Это именно то, что я хотела.",2020-10-16T14:02:41Z,фиолетовый,0,15,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,получила сегодня упаковано х коробках всё целое месте сказать восторге сказать таком чуде просто мечтала белки взбил буквально минуты минуты сахаром ещё пара минут мука тесто готово хорошо крышка мука разлетается всё насадки месте втулки насадок металлические значительно надёжнее пластмассы благодарность производителю именно то хотела,получать сегодня упаковывать коробка весь целое место сказать восторг сказать чудо просто мечтать белок взбивать буквально минута минута сахар пара минута мука тесто готовый крышка мука разлетаться насадка место втулка насадка металлический значительно надежный пластмасса благодарность производитель именно хотеть
МИКСЕР-ПЛАНЕТАРНЫЙ ПОЛУЧИЛА БОЛЬШОЕ СПАСИБО ПРИШЕЛ БЫСТРО МОЩНОСТЬ ХОРОШАЯ ОЦЕНКА 5,2020-10-16T08:53:00Z,фиолетовый,0,3,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,миксер планетарный получила большое пришел быстро мощность хорошая оценка,планетарный получать большой приходить быстро мощность оценка
"Долго выбирала, но решилась на миксер именно этой марки, очень хорошие отзывы о нем. И акцент делала именно на мощность прибора и металлические шестерни с венчиками. Упакован аж в две коробки. Все в наличии, есть присоски, чтоб не скользил по столу. Шумит не громче, чем обычный миксер.  В работе еще не пробовала, но уверена, что со своей задачей миксер справиться на ура. Хорошее соотношение цены и качества. Я очень довольна. Рекомендую.",2020-10-15T10:34:42Z,фиолетовый,0,3,1,5,Миксер планетарный SPM7167 1600Вт,StarWind,долго выбирала решилась именно марки хорошие отзывы нем акцент делала именно мощность прибора металлические шестерни венчиками упакован две коробки наличии присоски скользил столу шумит громче обычный миксер работе пробовала уверена своей задачей справиться ура хорошее соотношение цены качества довольна рекомендую,долго выбирать решаться именно марка немой акцент делать именно мощность прибор металлический шестерня венчик упаковывать коробка наличие присосок скользить стол шуметь громко обычный пробовать уверенный задача справляться ура соотношение цена качество довольный рекомендовать
"Нет инструкции , лопаточка сломана. Оставила, потому что, больше нет в наличии 😒",2020-10-15T09:27:15Z,фиолетовый,0,4,1,4,Миксер планетарный SPM7167 1600Вт,StarWind,инструкции лопаточка сломана оставила что наличии,инструкция лопаточка сломать оставлять наличие
"Пока все супер.  Дрожжевое тесто хорошо перемесилось, но вот со взбитеем надо ещё потренироваться. Не взбились яйца.",2020-10-15T07:50:01Z,фиолетовый,0,7,1,5,Миксер планетарный SPM7167 1600Вт,StarWind,пока супер дрожжевое тесто перемесилось взбитеем ещё потренироваться взбились яйца,пока дрожжевой тесто перемешиваться взбитевать потренироваться взбиваться яйцо
"Отличный миксер! Пробовали и взбивать, и тесто замешивать, и картофельное пюре готовить. Со всем справляется отлично! Тугое тесто для лапши вымешивает без труда и запинок. Дизайн красивый, приятный для глаз цвет.",2020-10-14T21:44:08Z,фиолетовый,0,2,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,миксер пробовали взбивать тесто замешивать картофельное пюре готовить всем справляется отлично тугое тесто лапши вымешивает труда запинок дизайн красивый приятный глаз цвет,пробовать взбивать тесто замешивать картофельный пюре готовить весь справляться отлично тугой тесто лапша вымешивать труд запинка дизайн красивый приятный глаз цвет
